code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
DOM1/137675/175195;IB00100041735;Collège Joseph PITAT;COLLEGE JOSEPH PITAT/AD 215;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;LD PETIT PARIS;Basse-Terre;971;97100;97105;Départements d'Outre-Mer;France;15.988751;-61.724014;Education nationale - Enseignement supérieur;Ets du second degré - lois décentralisat Jeunesse et sport;EPL;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;7626.0;;;;;;Oui;2021-12-31
"I`(L;2-U7(;P.HV$XQW29&/ACY!++3CC$&)3X`^7T/L](/O>2,#.?[(CX><G$*W;)W%$";E`@32+38WEB(*F`T`E=<\/;;;Logement;Logement;;;35;;;Bretagne;France;;;Affaires sociales - Travail;EHESP - Ecole des hautes études en santé publique;EPSCP;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;4302.0;;;Peu satisfaisant;1980;;Non;2021-12-31
IDF1/143529/446503;IB00100279758;PARC ET GRANDE HALLE DE LA VILLETTE;PAVILLON JANVIER;Bureau;Immeuble de bureaux;211  AV JEAN JAURES;Paris 19e Arrondissement;75;75019;75119;Ile-de-France;France;48.888952;2.392454;Culture;EPPGHV - Et pub du parc et de la grande Halle de la Villette.;EPIC;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;2522.0;238290.0;Fioul domestique : pétrole brut, gazole, fioul domestique, Fioul domestique : pétrole brut, gazole, fioul domestique;Satisfaisant;1868;Oui;Non;2021-12-31
FRCO/218038/525972;IG00100174028;Parcelles terrain DRAC;Les Founottes NZ 67 - OP 357;Espace naturel;Terrain délaissé;R CAMILLE FLAMMARION;Besançon;25;25000;25056;Bourgogne - Franche-Comté;France;47.260217;5.999917;Culture;Culture (services déconcentrés);Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;7906.0;;;;;;Non;2021-12-31
IDF1/130587/167938;IB00100010385;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Immeuble d'habitation;2  R HUYSMANS;Paris 6e Arrondissement;75;75006;75106;Ile-de-France;France;;;Affaires étrangères;Affaires étrangères (services centraux).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;266.15;;;;1920;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/A-'845U[@#]D/K8LL""SYM%/E7WYY"">$A<2B/V7V[3EHG*";"L=06A<U4L!5,+=9)-;^<2!";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment technique;Garage;4  . ANAHAW ROAD FORBES PARK;MANILLE;N/A;9900;;Étranger;Philippines;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;62.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/DKR8MZ9GA$45+>^L2[1O=$/FM#PG]Y4+DL%3!CVG(5H%'";PC&%^F]ZZK*'IQ=%K-8F7$;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Mauritanie;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;195.0;;;;1961;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/FM95?<<2345VWWO?!D,A!(/NO&HC(`+4T?SPI_YN6-^))";"M..5F]E[YG=1Q$""W+%@6'!";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Benin;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;240.0;;;;1962;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/HV_X73!/^3MQDE^[""`IX!./MNG'NP`_""#?4B>9L:P0^-(";M#M)X')Z&)YIDIS,JN0A,#;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Pakistan;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;Organismes publics étrangers;Autre Proprié.;3452.0;;;;1993;;Non;2021-12-31
LANG/104862/130921;IB00100030686;CPH SETE;CONSEIL DES PRUD'HOMMES;Bureau;Tribunal;BD DANIELLE CASANOVA;Sète;34;34200;34301;Occitanie;France;43.406111;3.69438;Justice;Justice (services judiciaires);Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;310.0;19699.13;Electricité;Très satisfaisant;1820;Non;Oui;2021-12-31
IDF1/102843/349990;IB00100186650;CENTRE EDUCATIF FERME;Pavillon C;Espace aménagé;Ruines;17  R DU CHATEAU;Bures-sur-Yvette;91;91440;91122;Ile-de-France;France;48.683143;2.157255;Justice;Protection Judiciaire de la Jeunesse;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;100.0;4.0;;Peu satisfaisant;1965;Non;Non;2021-12-31
CENT/102078/212597;IB00100044668;UEMO de Dreux;UNITE DE MILIEU OUVERT;Bâtiment sanitaire ou social;Bât. social sans hébergement;88  R SAINT MARTIN;Dreux;28;28100;28134;Centre - Val-de-Loire;France;48.731832;1.366952;Justice;Protection Judiciaire de la Jeunesse;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;268.0;;;Peu satisfaisant;;Non;Oui;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/CH`[AUOE'#)@X-]2'F@EM&/D:^<Z,?BE3P#./U$""GI_Q'";I=&VNK!F?KKUV/I1N^A5E#;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;31;;;Occitanie;France;;;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;125.0;;;;1930;;Non;2021-12-31
NORP/143949/156073;IB00100043464;Service Pénitentiaire Insertion Probation;Service Pénitentiaire Insertion Probation;Bâtiment sanitaire ou social;Bâtiment pénitentiaire;40  R DE VALMY;Lille;59;59000;59350;Hauts de France;France;50.628928;3.062779;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;12.0;;;;;;Oui;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/A`OPOG.!JD=9?]93,M7\5$/I2Z3""VIW]LG>AAUODH]H+%";I'ICT0YSV77['U2,FY9H_/;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;60;;;Hauts de France;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;79.0;;;;;;Non;2021-12-31
