code_chorus;id;designation_site;designation_batiment_terrain;type;fonction;adresse;ville;dept;code_postal;code_insee;libelle_nouvelle_region;pays;latitude;longitude;ministere;libelle_gestionnaire;type_gestionnaire;libelle_proprietaire;type_proprietaire;surface_m2;consommation_kwh_ef;type_de_chauffage;etat_de_sante;annee_de_construction;tri_des_dechets;erp;date_de_reference
BOUR/119765/370265;IB00100206118;PALAIS DE JUSTICE DE MACON;PARKING DU PALAIS DE JUSTICE DE MACON;Espace aménagé;Aire de stationnement;8  R DE LA PREFECTURE;Mâcon;71;71000;71270;Bourgogne - Franche-Comté;France;46.307665;4.832432;Justice;Justice (services judiciaires);Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1145.0;;;;;;Non;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/CH`[AUOE'#)@X-]2'F@EM&/KXT\E<>MA<5RO<W1;=Q\7$";JFRV5'[B`C->`!C!:&7O.-;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;31;;;Occitanie;France;;;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;138.0;;;;1930;;Non;2021-12-31
"O;]D')`T)&>RY6]""<_D(T!/H72$)*E]Y#J\K+/L>X.W]//C4C5XWD]54FNJN0R.-RH1+";"KWH""-E7I##8*BV+YJ<%*?)";Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;67;;;Grand-Est;France;;;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1863.43;113740.2;;Satisfaisant;1855;Oui;Non;2021-12-31
DOM2/133032/170135;IB00100018409;COLLEGE  DE  SADA;CLG SADA  CLASSES;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;SADA II;Sada;976;97640;97616;Départements d'Outre-Mer;France;-12.848854;45.099782;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;70751.0;;Peu satisfaisant;1997;Oui;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/NL[?Z=+(R#U+;S3;-0LOM#/MS-5(+][PT8AM*[IMMQQ90";LB(C0G+L??JYFY0+O=[WV*;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment sanitaire ou social;Bât. social sans hébergement;0  Boulevard MOULAY YOUSSEF ROUTE EL HAJEB;MEKNES;N/A;99000;MA010;Étranger;Maroc;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;86.0;;;;;;Oui;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/P<[X\%+/OD;%Q6^H<]!_U'/N[+IDSG^N$4+C^2(_ZRP=$";"OLN04GDU>PG.;Y!09\R8?%";;;Logement;Logement;;;60;;;Hauts de France;France;;;Affaires sociales - Travail;AFPA - Agence Nale pour la Formation professionnelle des adultes;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;125.0;28838.7;;Satisfaisant;1975;Oui;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/J6W4$02-<C*\16[KO)MSE*/E>`AFV4-*DWD6`:NHH4KU$";JG!T?Z4VF_8HG2>P_KO.[);Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Logement;Maison individuelle;;;;;;Étranger;Etats-Unis Amerique Nord;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;250.0;;;;1985;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/L%:JJ1U'B4.44H`5G1H]1%/L:9>OV5V]3A,):R-'&AZ!-";N0Y639P\TXC[$,FDG)8HM#;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bureau;Immeuble de bureaux;MUNSUDONG DISCTRICT;PYONGYANG;N/A;99000;KP005;Étranger;Coree (République populaire démocratique de corée);;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;0.0;;;;;;Non;2021-12-31
ALSA/179103/358370;IB00100194951;IEN Vosges du Nord;IEN  DRULINGEN;Bureau;Inspection de l'Education Nationale;23  R DE PHALSBOURG;Drulingen;67;67320;67105;Grand-Est;France;48.863964;7.196081;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;87.0;12014.64;;Satisfaisant;1960;Oui;Non;2021-12-31
FRCO/207828/471313;IB00100308559;GARAGE CIO DOLE;GARAGE CIO DOLE;Bâtiment technique;Garage;32  BD DU PRESIDENT WILSON;Dole;39;39100;39198;Bourgogne - Franche-Comté;France;47.096687;5.493721;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;EPL - ETABLISSEMT PUBLIC DES COLLECTIVITES LOCALES Partenaire générique;EPL;0.0;;;;1850;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/EM.<3<:JF4MPV(,/*=KE!./E05F+N:""#\2)&00C/KP[/-";F9#G6\?]FYH]V[]J@B?^:.;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;77;;;Ile-de-France;France;;;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;2013.0;;;;;;Non;2021-12-31
IDF1/136219/206646;IB00100018498;DOMAINE NATIONAL DE SAINT-GERMAIN-EN-LAYE;ATELIERS DE RESTAURATION RUE THIERS;Bâtiment technique;Bâtiment technique;;;78;;;Ile-de-France;France;;;Culture;Culture-Patrimoines-Musées de France;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;628.0;10808.172;;;1559;;Non;2021-12-31
RALP/141629/362359;IB00100202619;CNSMD QUAI CHAUVEAU;BATIMENT SAONE;Bureau;Immeuble de bureaux;3 B QU CHAUVEAU;Lyon 9e Arrondissement;69;69009;69389;Auvergne - Rhône-Alpes;France;45.76817;4.812818;Culture;CNSMD Lyon - Conservatoire nat sup de musique et de danse;EPA;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;2558.0;;;;1970;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/DX:3&W>Y^3^H42)1*B1D1)/K_44F""SR&K$*@`$926`\;+";FT[))O)=:1@F#'J20#5?Q$;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment culturel;Équipement culturel;2-2-11  TENJINBASHI KITA-KU MINAMIMORIMACHI  9F;OSAKA;N/A;9999999;JP004;Étranger;Japon;;;Affaires étrangères;Affaires étrangères (Ets culturels et de recherche);Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;440.0;;;;;;Oui;2021-12-31
DOM1/218844/528718;IB00100346313;Bureaux - Rectorat - 27 Avenue Léopold HEDER CAYENNE;RECTORAT 27 Avenue Léopold HEDER 97300 CAYENNE;Bureau;Immeuble de bureaux;27 Avenue Léopold HEDER;Cayenne;973;97300;97302;Départements d'Outre-Mer;France;4.941621;-52.331451;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;0.0;;;;;;Non;2021-12-31
DOM2/133055/461792;IB00100297731;COLLEGE   ZENA  M'DERE;COLLEGE ZENA M'DERE PAMANDZI BATIMENT 8;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;LOTISSEMENT TROJO NJEOU;Pamandzi;976;97615;97615;Départements d'Outre-Mer;France;-12.797541;45.282372;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;136.0;;;;1998;;Oui;2021-12-31
IDF1/191462/423966;IB00100240648;IEN FRANCONVILLE;IEN FRANCONVILLE;Bureau;Inspection Académique;1  Rue d'Ermont;Franconville;95;95130;95252;Ile-de-France;France;48.9835;2.230672;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;162.0;;;Satisfaisant;;;Non;2021-12-31
LANG/189790/401641;IB00100239055;INTERNAT D'EXCELLENCE DE MONTPELLIER (IEM);DE LAUWE - LIVRAISON ELECTRIQUE;Bâtiment technique;Bâtiment de stockage;4  RUE DU 81EME REGIMENT D'INFANTERIE;Montpellier;34;34000;34172;Occitanie;France;43.620069;3.876687;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;1991;;Non;2021-12-31
IDF1/143932/167590;IB00100024654;UNESCO;UNESCO;Bureau;Immeuble de bureaux;1  R MIOLLIS;Paris 15e Arrondissement;75;75015;75115;Ile-de-France;France;;;Affaires étrangères;Affaires étrangères (hors services centraux).;Etat;Organismes publics étrangers;Autre Proprié.;147.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/A7LBM]QT]D1P+XF;R<-O5#/OZ;:$L&-ISBT:,)<QH'KY""";"D>R""*FIGNADX9WOYKYZ'B#";Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Espace aménagé;Aire de stationnement;0  . PACIFIC STAR BUILDING 16TH FLOOR- GIL PU;MANILLE;N/A;9900;PH001;Étranger;Philippines;;;Affaires étrangères;Affaires étrangères (services extérieurs ).;Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;0.0;;;;;;Non;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/KU@?3]<+H$B'-<^[M>>U]%/MH(LC>;*[TYY/!1-9C!FI!";CS@-G9)2/YO78BXOQ+D6!!;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment culturel;Équipement culturel;23  LARGO TONIOLO;ROME ST SIEGE;N/A;99000;;Étranger;Italie;;;Affaires étrangères;Affaires étrangères (Ets culturels et de recherche);Etat;PERSONNE MORALE DE DROIT PRIVE Société, association, groupement éco... Partenaire générique;Pers.Mor.Privé;146.0;;;;;;Oui;2021-12-31
"F[Y9T\K[![9%57TY@P<GL./N#<<E""_'KS;2\*(GT9>K)*/P4'@6Q\'6C^+:#C6\#?OE-";L.8:T<5HY6@/P\',DPKTM-;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;51;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;53.0;;;Pas satisfaisant;;;Non;2021-12-31
"G""E<L_+212O/?8TN[""6RE-/KO.F.R,U\#CO7HEDAQQR-'/C*%*=3863SVGWSOZG9XTY-";"IR.P]./:`+[I(X_<,!I^(""";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;33;;;Nouvelle Aquitaine;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;0001;;Non;2021-12-31
"I5+@C$WMLM]/;9V+""ESLU!/A%,>KJH1<$<*QQ""O)GLZ=./D):,$\0W&$61XS""/>BVA]$";"DJB1:HVA""X""'N*_Z=LI]K'";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;12;;;Occitanie;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Non;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/KB87\M@RZSEA*;HABQP`I./IQX]J:?3(+4(L]],A8RJS0";F00GF>&[^OKFXWUIZN@<>*;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;60;;;Hauts de France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;210.0;;;Satisfaisant;1839;;Non;2021-12-31
IDF1/144588/204724;IB00100029057;TRIBUNAL JUDICIAIRE;TRIBUNAL JUDICIAIRE;Bureau;Tribunal;R PASTEUR VALLERY-RADOT;Créteil;94;94000;94028;Ile-de-France;France;48.781995;2.442927;Justice;Justice (services judiciaires);Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;20078.0;1381448.42;;Peu satisfaisant;1980;Oui;Oui;2021-12-31
"M$.U/=Y?QSX^,L#7P.SG\""/JX.HO(%P^#<-FP6#3Z^_=./N\%RA_*=I423+@=W92HW1$";GCD#6^1B@Z2>[R<:+D>5^$;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bien contrôlé par le ministère de l'Europe et des Affaires Etrangères;Bâtiment d'enseignement ou de sport;Centre d'examen;0  Place JEAN COURTIN;RABAT;N/A;99000;MA013;Étranger;Maroc;;;Affaires étrangères;AEFE-Agence pour l'enseignement fançais à l'étranger;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;197.0;;;;;;Oui;2021-12-31
"A[1[,-&58<DY@+#?0U;5P#/HZ$%FC)2+#Y+])UNS@DOM*/B_$8!JPU=D6-@OA3Z9-TE+";"LP8&3X.6*`:0;""\,[7!@Y+";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;54;;;Grand-Est;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;158.0;;;;;;Non;2021-12-31
"OR<C@O-.K<<&#@XJ?)!V40/MO/^DAU&G3[]3;*/J_\ZA//O),]0$L.NL*['#S""#22V[*";"MO]TB$N0@IF&LG,6""=%V]&";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;60;;;Hauts de France;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;87.0;;;;;;Non;2021-12-31
AQUI/139399/206404;IB00100012220;INSPECTION ACADEMIQUE;DSDEN de PERIGUEUX et CIRCO A-SH et EMS;Bureau;Inspection Académique;20  R ALFRED DE MUSSET;Périgueux;24;24000;24322;Nouvelle Aquitaine;France;45.18901;0.725717;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1582.15;129123.266;Gaz naturel;Satisfaisant;1967;Oui;Oui;2021-12-31
DOM2/133055/461790;IB00100297730;COLLEGE   ZENA  M'DERE;COLLEGE ZENA M'DERE PAMANDZI BATIMENT 7;Bâtiment d'enseignement ou de sport;Bâtiment scolaire/enseignement;LOTISSEMENT TROJO NJEOU;Pamandzi;976;97615;97615;Départements d'Outre-Mer;France;-12.797541;45.282372;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;141.0;;;;1998;;Oui;2021-12-31
IDF1/189243/399412;IB00100235881;Internat d'Excellence-CEREMA ex chorus 160378;BAT 8 Château d'eau;Bâtiment technique;Bâtiment de stockage;RTE NATIONALE 19;Sourdun;77;77171;77459;Ile-de-France;France;48.537507;3.350126;Education nationale - Enseignement supérieur;Enseignement du second degré.;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;25.0;;;;;;Non;2021-12-31
IDF1/197286/442127;IB00100274865;INSPECTION DE L'EDUCATION NATIONALE - 1ÈRE CIRCONSCRIPTION;IEN - 1 ÈRE CIRCONSCRIPTION;Bureau;Inspection de l'Education Nationale;15  R FRANCOIS RUDE;Cachan;94;94230;94016;Ile-de-France;France;48.786962;2.333289;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;70.0;;;;;;Non;2021-12-31
POIT/118250/177085;IB00100033629;INSPECTION ENSEIGNEMENT PRIMAIRE;INSPECTION ENSEIGNEMENT PRIMAIRE;Bureau;Inspection de l'Education Nationale;6  AV DU GENERAL DE GAULLE;Confolens;16;16500;16106;Nouvelle Aquitaine;France;46.011475;0.670243;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;174.0;;;Satisfaisant;;Oui;Non;2021-12-31
BNOR/100880/198328;IB00100045950;DEPOT DE FOUILLES - BAYEUX;DEPÔT FOUILLES BAYEUX;Bâtiment technique;Bâtiment de stockage;;;14;;;Normandie;France;;;Culture;Culture-Patrimoines-Archéologie;Etat;COMMUNE  Partenaire générique;Commune;215.0;;;;1201;;Non;2021-12-31
CENT/163443/441279;IB00100274036;Bien contrôlé par le ministère de la Culture;Bien contrôlé par le ministère de la Culture;Bâtiment culturel;Équipement culturel;LD NOHANT;Nohant-Vic;36;36400;36143;Centre - Val-de-Loire;France;46.625669;1.974355;Culture;CMN - Centre des monuments nationaux;EPA;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;;;Oui;2021-12-31
IDF1/137744/179119;IG00100034256;GISEMENT ALLEE COUVERTE DES MUREAUX;ALLEE COUVERTE DES MUREAUX;Espace naturel;Terrain en friche;;;78;;;Ile-de-France;France;;;Culture;Culture-Patrimoines-Archéologie;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;2189.0;;;;;;Non;2021-12-31
IDF1/137926/192658;IG00100038675;Bien contrôlé par le ministère de la Culture;Bien contrôlé par le ministère de la Culture;Espace naturel;Terrain forestier;LD LES GILBERTS;Vaux-sur-Seine;78;78740;78638;Ile-de-France;France;49.009783;1.965064;Culture;Culture-Création artistique;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;1350.0;;;;;;Non;2021-12-31
"EL7?EA[BJ0&.;)[CUKB>S*/O.UAWIYNQCE9/T$V(;IL5./N'VG@H].<;WWAUF@M9:RW0";G'Z\__UF>6N-&OLT2(@-Y,;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;62;;;Hauts de France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;165.0;;;Satisfaisant;1839;;Non;2021-12-31
"F[Y9T\K[![9%57TY@P<GL./P+2Q[;?OFT%K%B>J66*`I&/PV:'K(V1^S(4#$W?:JUR9$";"LTIH^+9$MG>OSW.2>"";01-";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;52;;;Grand-Est;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;27.0;;;Pas satisfaisant;;Non;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/D%E*)<DN?T""MGZT38_)DY*/K:$>HF3RTS!NG3+""_U.AI+";JAO!OXK3>H4R%?937GB/\);Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;77;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;175.0;;;Satisfaisant;1845;;Non;2021-12-31
KAZ*>/4_5C+OTE+K529-E%/D?7=0`BX^3_0*`/QA4TJA*/H&Q,MG:<DS82TKY`C)\D90;P@QK%5O'WS.+C5)[CYV12/;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;91;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Peu satisfaisant;;;Non;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/DL\*4*(A*TY&[@:3'0`YI!/D6VO+ID%W4.L;NE5*TJG1%";NN.>I)E24R7ZD(MF92F:]&;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;91;;;Ile-de-France;France;;;Agriculture;Agro Paris Tech - Inst des sciences du vivant et de l'environnement;EPSCP;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;13700.0;;;Peu satisfaisant;1960;;Oui;2021-12-31
"KAZ*>/4_5C+OTE+K529-E%/GLHNJ[UR,C()<][.4+@P%0/DPM@X([0WS%_8WD""U'2_I&";OSA\AAM..G\TABPHSVB%M%;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;78;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Pas satisfaisant;;;Non;2021-12-31
"KP,:<9(Z.T'2CW7X,5/[.+/FX_<'HBI]#%&2G^(--DYM//J/E66#F)@\)`""]I##R;G_)";"CGB.G\;D4/9PAM&Q(T;%>.";SITE BONNEFOI;BONNEFOI;Espace naturel;Espace naturel;;Sainte-Eulalie;7;07510;07235;Auvergne - Rhône-Alpes;France;44.809408;4.189075;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;8230983.0;;;;;;Non;2021-12-31
KP,:<9(Z.T'2CW7X,5/[.+/NIC'?-_MRDO`2X1/Y=BHU*/JR=@@N1AG##>G8%O8GDV-/;M%G1]56=I^?PL'.*H8DB3';SITE CHAP DEL BOS;CHAP DEL BOS;Espace naturel;Espace naturel;;;7;;;Auvergne - Rhône-Alpes;France;-;-;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;4878936.0;;;;;;Non;2021-12-31
"A[1[,-&58<DY@+#?0U;5P#/JSM*6""BL*$>A4;EF=FXT]./GM4$8L""`9T$0>E1YCT5N9%";"E!(6D_=1`""2?Z@?9O>,S:""";Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;57;;;Grand-Est;France;;;Justice;Services Pénitentiaires;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;581.0;;;;1985;;Non;2021-12-31
OR<C@O-.K<<&#@XJ?)!V40/H]>X#@0FB$!GZ:Q+?_TAM$/H.7D-QK&M<VV#I2@]57NG-;P>NSA#V46B'<!K5B1MDA**;Bien contrôlé par le ministère de la Justice;Bien contrôlé par le ministère de la Justice;Logement;Logement;;;80;;;Hauts de France;France;;;Justice;Services Pénitentiaires;Etat;PERSONNE PHYSIQUE;Personne Physique;130.0;;;;;;Non;2021-12-31
"K+Q""+.MRN=T2(.JQJG]+]*/OW<*6]3LK#[BIJF76RFM-%/J$0DV*1Z_4%;+9I70Q(Z!,";BZ@!*`'N_4O1@G9AA`%9@);Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;21;;;Bourgogne - Franche-Comté;France;;;Agriculture;INESAAE – l’institut Agro;EPSCP;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;5186.0;700082.0;;Satisfaisant;2004;Oui;Non;2021-12-31
"F:E+57HZ8Z9<&48$:#+DW+/D:\@,>PEL#@Y\@P?%_-Y=)/KL334''M`$Y\BZXB""&?BM*";O?D!8,O799A6M]?*+)R''.;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;17;;;Nouvelle Aquitaine;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;110.0;;;Satisfaisant;1845;;Non;2021-12-31
KAZ*>/4_5C+OTE+K529-E%/GLHNJ[UR,C()<][.4+@P%0/H0J_X&4K)3Q_-4V[=61^!);"OGS_=0-.DEG""T*5X<B>&.!";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;78;;;Ile-de-France;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;217.0;;;Peu satisfaisant;1967;;Non;2021-12-31
KP,:<9(Z.T'2CW7X,5/[.+/C.^X%.UB[TE)8L&4@D7JI./D\DA+-.#]C-K*+4P(_FC5(;"FB\5NX\F]7G&=&B8?0VFV""";Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Bâtiment technique;Bâtiment technique;;;26;;;Auvergne - Rhône-Alpes;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;56.0;;;Satisfaisant;1999;;Non;2021-12-31
"N8F;&!FR7RL<VT8YDOK.[0/C]-D/%!T`4O^B*A^OKZYA./O^>//G)G]#X!H.V/:A=B='";FTX4KN-<J#(H4M\6P9?,E&;Bien contrôlé par le MASAF;Bien contrôlé par le MASAF;Logement;Logement;;;61;;;Normandie;France;;;Agriculture;ONF - OFFICE NATIONAL DES FORETS;EPIC;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;0.0;;;Satisfaisant;1851;;Non;2021-12-31
DOM2/119098/191056;IB00100015803;COUR D APPEL;COUR D APPEL;Bureau;Tribunal;166  R JULIETTE DODU;Saint-Denis;974;97400;97411;Départements d'Outre-Mer;France;-20.883598;55.453159;Justice;Justice (services judiciaires);Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;2928.0;191968.0;;Très satisfaisant;1962;Oui;Oui;2021-12-31
"A[1[,-&58<DY@+#?0U;5P#/I=#J5HM>IT@&LL#R-MVC9""/L0S)Y/L,X#M&#L>8.=-DM)";"BNZ^]=5N<.R1_INE%(',[""";Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Bien contrôlé par le ministère de l'Education Nationale et de la Jeunesse;Logement;Logement;;;54;;;Grand-Est;France;;;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;ETAT DOMAINE PRIVE  PARTENAIRE GENERIQUE;Etat;770.0;14013.83;Fioul domestique : pétrole brut, gazole, fioul domestique;;;;Non;2021-12-31
BRET/194605/433231;IB00100264505;INSPECTION EDUCATION NATIONALE 1ER DEGRE PLOERMEL;INSPECTION EDUCATION NATIONALE 1ER DEGRE POERMEL;Bureau;Immeuble de bureaux;9  RUE DU VAL;Ploërmel;56;56800;56165;Bretagne;France;47.933487;-2.399411;Education nationale - Enseignement supérieur;Education nationale Services déconcentrés;Etat;COMMUNE  Partenaire générique;Commune;299.0;4799.63;;;;Non;Oui;2021-12-31
PICA/100942/443533;IB00100276465;DOMAINE NATIONAL DE COMPIEGNE;DN-SANITAIRES PUBLICS;Bâtiment technique;Bâtiment technique;;;60;;;Hauts de France;France;;;Culture;Culture-Patrimoines-Musées de France;Etat;ETAT DOMAINE PUBLIC  PARTENAIRE GENERIQUE;Etat;0.0;34.109;;;1850;;Non;2021-12-31
